,elevation edges,length
211,"(0.072, 0.072)","(0.088, 0.088)"
212,"(0.072, 0.128)","(0.088, 0.112)"
213,"(0.072, 0.128)","(0.088, 0.112)"
214,"(0.072, 0.128)","(0.088, 0.112)"
215,"(0.072, 0.128)","(0.088, 0.112)"
216,"(0.072, 0.072)","(0.088, 0.088)"
217,"(0.072, 0.072)","(0.088, 0.088)"
218,"(0.072, 0.072)","(0.088, 0.088)"
219,"(0.072, 0.072)","(0.088, 0.088)"
220,"(0.072, 0.072)","(0.088, 0.088)"
221,"(0.072, 0.128)","(0.088, 0.112)"
222,"(0.072, 0.128)","(0.088, 0.112)"
223,"(0.072, 0.128)","(0.088, 0.112)"
224,"(0.072, 0.128)","(0.088, 0.112)"
225,"(0.072, 0.128)","(0.088, 0.112)"
226,"(0.072, 0.128)","(0.088, 0.112)"
227,"(0.072, 0.128)","(0.088, 0.112)"
228,"(0.072, 0.128)","(0.088, 0.112)"
229,"(0.072, 0.128)","(0.088, 0.112)"
230,"(0.072, 0.128)","(0.088, 0.112)"
231,"(0.072, 0.128)","(0.088, 0.112)"
232,"(0.072, 0.128)","(0.088, 0.112)"
233,"(0.072, 0.128)","(0.088, 0.112)"
234,"(0.072, 0.128)","(0.088, 0.112)"
235,"(0.072, 0.128)","(0.088, 0.112)"
236,"(0.072, 0.128)","(0.088, 0.112)"
237,"(0.072, 0.128)","(0.088, 0.112)"
238,"(0.072, 0.128)","(0.088, 0.112)"
239,"(0.072, 0.128)","(0.088, 0.112)"
240,"(0.072, 0.128)","(0.088, 0.112)"
241,"(0.072, 0.128)","(0.088, 0.112)"
242,"(0.072, 0.128)","(0.088, 0.112)"
243,"(0.072, 0.128)","(0.088, 0.112)"
244,"(0.072, 0.128)","(0.088, 0.112)"
245,"(0.072, 0.128)","(0.088, 0.112)"
246,"(0.072, 0.128)","(0.088, 0.112)"
247,"(0.072, 0.128)","(0.088, 0.112)"
248,"(0.072, 0.128)","(0.088, 0.112)"
249,"(0.072, 0.128)","(0.088, 0.112)"
250,"(0.072, 0.128)","(0.088, 0.112)"
251,"(0.072, 0.128)","(0.088, 0.112)"
252,"(0.072, 0.128)","(0.088, 0.112)"
253,"(0.072, 0.128)","(0.088, 0.112)"
254,"(0.072, 0.128)","(0.088, 0.112)"
255,"(0.072, 0.128)","(0.088, 0.112)"
256,"(0.072, 0.128)","(0.088, 0.112)"
257,"(0.072, 0.128)","(0.088, 0.112)"
258,"(0.072, 0.128)","(0.088, 0.112)"
259,"(0.072, 0.128)","(0.088, 0.112)"
260,"(0.072, 0.128)","(0.088, 0.112)"
261,"(0.072, 0.128)","(0.088, 0.112)"
262,"(0.072, 0.128)","(0.088, 0.112)"
263,"(0.072, 0.128)","(0.088, 0.112)"
264,"(0.072, 0.128)","(0.088, 0.112)"
265,"(0.072, 0.128)","(0.088, 0.112)"
266,"(0.072, 0.128)","(0.088, 0.112)"
267,"(0.072, 0.128)","(0.088, 0.112)"
268,"(0.072, 0.128)","(0.088, 0.112)"
269,"(0.072, 0.128)","(0.088, 0.112)"
270,"(0.072, 0.128)","(0.088, 0.112)"
271,"(0.072, 0.128)","(0.088, 0.112)"
272,"(0.072, 0.128)","(0.088, 0.112)"
273,"(0.072, 0.128)","(0.088, 0.112)"
274,"(0.072, 0.128)","(0.088, 0.112)"
275,"(0.072, 0.128)","(0.088, 0.112)"
276,"(0.072, 0.128)","(0.088, 0.112)"
277,"(0.072, 0.128)","(0.088, 0.112)"
278,"(0.072, 0.128)","(0.088, 0.112)"
279,"(0.072, 0.128)","(0.088, 0.112)"
280,"(0.072, 0.128)","(0.088, 0.112)"
281,"(0.072, 0.128)","(0.088, 0.112)"
282,"(0.072, 0.128)","(0.088, 0.112)"
283,"(0.072, 0.128)","(0.088, 0.112)"
284,"(0.072, 0.128)","(0.088, 0.112)"
285,"(0.072, 0.128)","(0.088, 0.112)"
286,"(0.072, 0.128)","(0.088, 0.112)"
287,"(0.072, 0.128)","(0.088, 0.112)"
288,"(0.072, 0.128)","(0.088, 0.112)"
289,"(0.072, 0.128)","(0.088, 0.112)"
290,"(0.072, 0.128)","(0.088, 0.112)"
291,"(0.072, 0.128)","(0.088, 0.112)"
292,"(0.072, 0.128)","(0.088, 0.112)"
293,"(0.072, 0.128)","(0.088, 0.112)"
294,"(0.072, 0.128)","(0.088, 0.112)"
295,"(0.072, 0.128)","(0.088, 0.112)"
296,"(0.072, 0.128)","(0.088, 0.112)"
297,"(0.072, 0.128)","(0.088, 0.112)"
298,"(0.072, 0.128)","(0.088, 0.112)"
299,"(0.072, 0.128)","(0.088, 0.112)"
300,"(0.072, 0.128)","(0.088, 0.112)"
301,"(0.072, 0.128)","(0.088, 0.112)"
