,elevation edges,length
33,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
34,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
35,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
36,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
37,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
38,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
39,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
40,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
41,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
42,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
43,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
44,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
45,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
46,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
47,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
48,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
49,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
50,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
51,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
52,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
53,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
54,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
55,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
56,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
57,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
58,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
59,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
60,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
61,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
62,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
63,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
64,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
65,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
66,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
67,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
68,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
69,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
70,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
71,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
72,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
73,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
74,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
75,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
76,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
77,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
78,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
79,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
80,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
81,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
82,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
83,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
84,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
85,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
86,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
87,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
88,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
89,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
90,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
91,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
92,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
93,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
94,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
95,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
96,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
97,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
98,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
99,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
100,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
101,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
102,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
103,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
104,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
105,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
106,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
107,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
108,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
109,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
110,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
111,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
112,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
113,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
114,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
115,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
116,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
117,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
118,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
119,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
120,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
121,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
122,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
123,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
124,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
125,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
126,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
